mm	O
&	O
m	O
's	O
top	O
health	O
technology	O
stories	O
of	O
2016	O
photo	O
credit	O
:	O
jon	ORG
simon/feature	ORG
photo	ORG
service	ORG
for	ORG
ibm	ORG
1	O
.	O
how	O
watson	O
for	O
oncology	O
is	O
advancing	O
cancer	O
care	O
three	O
years	O
ago	O
,	O
memorial	O
sloan-kettering	O
and	O
ibm	ORG
watson	O
formed	O
a	O
partnership	O
to	O
develop	O
watson	O
for	O
oncology	O
,	O
a	O
cognitive	O
computing	O
system	O
that	O
can	O
analyze	O
large	O
volumes	O
of	O
data	O
including	O
medical	O
literature	O
,	O
patient	O
health	O
records	O
,	O
and	O
clinical	O
trials	O
,	O
to	O
offer	O
personalized	O
,	O
evidence-based	O
treatment	O
recommendations	O
for	O
cancer	O
patients	O
.	O
photo	O
credit	O
:	O
klick	O
health	O
2	O
.	O
3	O
health	O
tech	O
innovations	O
experts	O
say	O
will	O
revolutionalize	O
healthcare	O
“	O
this	O
is	O
the	O
most	O
interesting	O
time	O
in	O
the	O
history	O
of	O
healthcare	O
and	O
medicine	O
,	O
”	O
says	O
zen	O
chu	O
,	O
md	O
of	O
accelerated	O
medical	O
ventures	O
and	O
senior	O
lecturer	O
at	O
the	O
mit	ORG
sloan	ORG
school	ORG
of	O
management	O
.	O
“	O
we	O
've	O
got	O
so	O
many	O
new	O
technologies	O
and	O
redesigned	O
experiences	O
impacting	O
both	O
the	O
value	O
we	O
deliver	O
,	O
and	O
also	O
the	O
value	O
patients	O
are	O
getting	O
from	O
healthcare.	O
”	O
photo	O
credit	O
:	O
facebook	ORG
3	O
.	O
10	O
things	O
for	O
pharma	ORG
marketers	O
to	O
know	O
about	O
facebook	ORG
and	O
instagram	ORG
“	O
when	O
you	O
think	O
back	O
in	O
the	O
day	O
,	O
people	O
used	O
to	O
have	O
really	O
personal	O
relationships	O
with	O
their	O
physician	O
and	O
pharmacist	O
.	O
we	O
got	O
a	O
little	O
away	O
from	O
that	O
,	O
but	O
we	O
believe	O
that	O
facebook	ORG
can	O
help	O
bring	O
that	O
back	O
and	O
help	O
pharma	ORG
reconnect	O
with	O
people	O
one-on-one	O
,	O
”	O
said	O
facebook	ORG
health	O
industry	O
manager	O
danielle	PERS
salowski	PERS
.	O
photo	O
credit	O
:	O
uncalno	ORG
tekno/creative	ORG
commons	ORG
4	O
.	O
8	O
ways	O
for	O
pharma	ORG
to	O
improve	O
the	O
way	O
it	O
uses	O
twitter	ORG
when	O
it	O
comes	O
to	O
incorporating	O
digital	O
and	O
social	O
media	O
in	O
their	O
marketing	O
strategies	O
,	O
drugmakers	O
'	O
efforts	O
are	O
still	O
overshadowed	O
by	O
fear	O
.	O
that	O
's	O
according	O
to	O
mary	PERS
ann	PERS
belliveau	PERS
,	O
twitter	ORG
's	O
national	O
health	O
and	O
wellness	O
director	O
.	O
there	O
's	O
a	O
misperception	O
that	O
drugmakers	O
ca	O
n't	O
use	O
the	O
platform	O
because	O
of	O
regulatory	O
limitations	O
but	O
in	O
fact	O
many	O
firms	O
are	O
doing	O
it	O
and	O
doing	O
it	O
well	O
,	O
she	O
noted	O
.	O
photo	O
credit	O
:	O
andy	ORG
de/creative	ORG
commons	ORG
5	O
.	O
pharma	ORG
turns	O
to	O
mobile	O
,	O
population	O
data	O
to	O
market	O
to	O
docs	O
there	O
are	O
myriad	O
reasons	O
doctors	O
tell	O
marketers	O
they	O
'd	O
like	O
to	O
be	O
approached	O
through	O
digital	O
channels	O
.	O
some	O
point	O
to	O
their	O
status	O
as	O
employees	O
of	O
a	O
system	O
or	O
organization	O
that	O
limits	O
(	O
or	O
even	O
bans	O
)	O
contact	O
with	O
sales	O
reps	O
,	O
while	O
others	O
merely	O
note	O
that	O
they	O
're	O
extremely	O
busy	O
.	O
but	O
for	O
many	O
others	O
,	O
perhaps	O
it	O
's	O
because	O
—	O
like	O
people	O
in	O
basically	O
every	O
other	O
profession	O
—	O
they	O
sure	O
love	O
them	O
some	O
digital	O
.	O
photo	O
credit	O
:	O
creative	O
commons/btnhd	O
production	O
6	O
.	O
pharma	ORG
companies	O
turn	O
to	O
wearables	O
to	O
improve	O
r	O
&	O
d	O
pfizer	ORG
,	O
ucb	ORG
,	O
apple	ORG
,	O
and	O
ibm	ORG
are	O
just	O
a	O
few	O
of	O
the	O
other	O
companies	O
testing	O
out	O
mobile	O
technology	O
for	O
patients	O
with	O
parkinson	O
's	O
.	O
apple	ORG
's	O
researchkit	O
and	O
pfizer	ORG
's	O
and	O
ibm	ORG
's	O
wearable	O
sensor	O
system	O
are	O
both	O
being	O
used	O
to	O
gather	O
data	O
in	O
real	O
time	O
to	O
better	O
understand	O
the	O
disease	O
.	O
7	O
.	O
healthcare	O
marketers	O
:	O
do	O
n't	O
forget	O
about	O
the	O
baby	O
boomers	O
this	O
is	O
a	O
ripe	O
demographic	O
for	O
digital	O
health	O
services	O
and	O
devices	O
.	O
in	O
fact	O
,	O
it	O
's	O
now	O
a	O
matter	O
of	O
urgency	O
:	O
boomers	O
are	O
less	O
healthy	O
and	O
more	O
costly	O
,	O
from	O
a	O
systemic	O
perspective	O
,	O
than	O
previous	O
generations	O
.	O
photo	O
credit	O
:	O
sermo	O
8	O
.	O
sermo	O
opens	O
up	O
platform	O
to	O
healthcare	O
marketers	O
sermo	O
,	O
a	O
social-networking	O
platform	O
for	O
physicians	O
,	O
launched	O
a	O
new	O
free	O
feature	O
that	O
allows	O
pharma	ORG
and	O
healthcare	O
marketers	O
to	O
engage	O
with	O
its	O
roughly	O
550,000	O
physician	O
members	O
.	O
photo	O
credit	O
:	O
insulet	O
9	O
.	O
devicemakers	O
eye	O
market	O
for	O
drug	O
adherence	O
a	O
number	O
of	O
new	O
companies	O
are	O
developing	O
technologies	O
that	O
seek	O
to	O
address	O
how	O
patients	O
take	O
their	O
medicines	O
,	O
as	O
part	O
of	O
a	O
broader	O
effort	O
to	O
improve	O
adherence	O
among	O
those	O
patients	O
.	O
insulet	O
is	O
one	O
example	O
.	O
the	O
company	O
produces	O
small	O
skin-adhesive	O
pods	O
called	O
omnipods	O
that	O
administer	O
the	O
delivery	O
of	O
subcutaneous	O
drugs	O
.	O
photo	O
credit	O
:	O
sproutel	O
10	O
.	O
how	O
a	O
startup	O
is	O
educating	O
kids	O
